,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
1225,체육시설사업소,24시간 이용가능,급속,1,0,0,충청북도 옥천군 옥천읍 관성로 53 ,1661-9408,유료,급속(100kW멀티),없음 
1226,초평면사무소,24시간 이용가능,급속,3,0,0,충청북도 진천군 초평면 초동로 45-6 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1227,충북도청,24시간 이용가능,급속,1,0,0,충청북도 청주시 상당구 상당로 82 ,1661-9408,유료,급속(50kW),없음 
1228,충북제천시 관광정보센터,24시간 이용가능,급속,0,0,1,충청북도 제천시 청풍면 교리 산 26 (산 26),1661-9408,유료,급속(50kW),없음 
1229,충주산업단지관리공단,24시간 이용가능,급속,1,0,0,충청북도 충주시 용탄동 1137 ,1661-9408,유료,급속(50kW),없음 
1230,충주시청 의회동주차장,24시간 이용가능,급속,1,0,0,충청북도 충주시 으뜸로21 (충주시 으뜸로21),1661-9408,유료,급속(50kW),없음 
1231,충주시청(민원인 주차장),24시간 이용가능,급속,1,1,0,충청북도 충주시 금릉동 699 ,1661-9408,무료,급속(200kW동시),없음 
1232,충주종합관광안내소,24시간 이용가능,급속,1,0,0,충청북도 충주시 중앙탑면 탑평리 53-1 ,1661-9408,유료,급속(50kW),없음 
1233,충주첨단산업단지 관리사무소,24시간 이용가능,급속,1,0,0,충청북도 충주시 대소원면 본리 636 ,1661-9408,유료,급속(50kW),없음 
1234,충주휴게소(마산방향),24시간 이용가능,급속,1,0,0,충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리) ,1661-9408,유료,급속(50kW),없음 
1235,충주휴게소(마산방향),24시간 이용가능,급속,0,1,0,충청북도 충주시 중앙탑면 중부내륙고속도로 231 LPG 충전소 옆(용전리 산50-3),1661-9408,유료,급속(50kW),없음 
1236,충주휴게소(양평방향),24시간 이용가능,급속,1,0,0,충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리) ,1661-9408,유료,급속(50kW),없음 
1237,충주휴게소(양평방향),24시간 이용가능,급속,1,0,0,충청북도 충주시 중앙탑면 중부내륙고속도로 230 주유소 무료서비스존 인근 옥외 주차장(용전리 380),1661-9408,유료,급속(50kW),없음 
1238,충청북도 북부출장소 내,24시간 이용가능,급속,2,0,0,충청북도 제천시 동현동 321 ,1661-9408,무료,급속(200kW동시),없음 
1239,충청북도농업기술원,24시간 이용가능,급속,1,1,0,충청북도 청주시 청원구 오창읍 가곡길 46 ,1661-9408,유료,급속(200kW동시),없음 
1240,충청북도자치연수원 내,24시간 이용가능,급속,2,0,0,충청북도 청주시 상당구 가덕면 한계리 11 ,1661-9408,무료,급속(200kW동시),없음 
1241,푸르미스포츠센터,24시간 이용가능,급속,2,0,0,충청북도 청주시 흥덕구 휴암동 338 ,1661-9408,유료,급속(50kW),없음 
1242,푸른내문화센터,24시간 이용가능,급속,1,0,0,충청북도 괴산군 청천면 금관로 473 (금관로 473),1661-9408,유료,급속(50kW),없음 
1243,학산면사무소 공용주차장,24시간 이용가능,급속,2,0,0,충청북도 영동군 학산면 서산로 76 ,1661-9408,유료,급속(200kW동시),없음 
1244,한국가스안전공사 (본사),09:00 ~19:00,급속,0,2,0,충청북도 음성군 맹동면 두성리 1347 ,1661-9408,무료,급속(200kW동시),없음 
1245,한국교육과정평가원 본사,24시간 이용가능,급속,2,0,0,충청북도 진천군 덕산읍 두촌리 3015 ,1661-9408,무료,급속(200kW동시),없음 
1246,한국세라믹기술원 오송 융합바이오세라믹소재센터,24시간 이용가능,급속,0,2,0,충청북도 청주시 오송읍 오송생명1로 202 ,1661-9408,무료,급속(200kW동시),없음 
1247,한국소비자원,24시간 이용가능,급속,2,0,0,충청북도 음성군 맹동면 두성리 1409 ,1661-9408,무료,급속(200kW동시),없음 
1248,한국식품안전관리인증원 본원,24시간 이용가능,급속,2,0,0,충청북도 청주시 흥덕구 오송읍 연제리 664-5 ,1661-9408,무료,급속(100kW멀티),없음 
1249,혁신도시 풋살경기장,24시간 이용가능,급속,1,0,0,충청북도 진천군 덕산면 두촌리 2853 ,1661-9408,유료,급속(100kW멀티),없음 
1250,현도면사무소,24시간 이용가능,급속,3,0,0,충청북도 청주시 서원구 현도면 선동1길 9 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1251,황간면사무소 공용주차장,24시간 이용가능,급속,2,0,0,충청북도 영동군 황간면 남성2길 11 ,1661-9408,유료,급속(200kW동시),없음 
1252,황간휴게소(부산방향),24시간 이용가능,급속,1,0,0,충청북도 영동군 황간면 회포길 102 (회포리) ,1661-9408,유료,급속(50kW),없음 
1253,황간휴게소(부산방향),24시간 이용가능,급속,1,0,0,충청북도 영동군 황간면 회포길 102 충전소 입구 우측 공터(회포리 산1-9),1661-9408,유료,급속(50kW),없음 
1254,황간휴게소(서울방향),24시간 이용가능,급속,1,1,0,충청북도 영동군 황간면 회포1길 65 (회포리) ,1661-9408,유료,급속(50kW),없음 
1255,흥덕구청,24시간 이용가능,급속,1,0,0,충청북도 청주시 흥덕구 무심서로 857 ,1661-9408,유료,급속(50kW),없음 
1256,흥덕보건소 별관,24시간 이용가능,급속,1,0,0,충청북도 청주시 상당구 수동 138-8 ,1661-9408,무료,급속(100kW멀티),없음 
1257,GS장항솔바람점,24시간 이용가능,급속,1,0,0,충청남도 서천군 장항읍 송림리 755-12 ,1661-9408,유료,급속(50kW),없음 
1258,계룡농협하나로마트,24시간 이용가능,급속,2,0,0,충청남도 논산시 연산면 청동로 34 ,1661-9408,유료,급속(200kW동시),없음 
1259,계룡시청,24시간 이용가능,급속,2,0,0,충청남도 계룡시 장안로 46 ,1661-9408,유료,급속(200kW동시),없음 
1260,공주시청 주차장,24시간 이용가능,급속,1,2,0,충청남도 공주시 봉황동 304-6  ,1661-9408,유료,"급속(100kW멀티), 급속(200kW동시)",없음 
1261,공주휴게소(당진방향),24시간 이용가능,급속,0,0,1,충청남도 공주시 의당면 당진영덕고속도로 71 (청룡리) ,1661-9408,유료,급속(50kW),없음 
1262,공주휴게소(당진방향),24시간 이용가능,급속,1,0,0,충청남도 공주시 의당면 당진영덕고속도로 71 ,1661-9408,유료,급속(100kW멀티),없음 
1263,공주휴게소(대전방향),24시간 이용가능,급속,1,0,0,충청남도 공주시 의당면 당진영덕고속도로 72 (송선동) ,1661-9408,유료,급속(50kW),없음 
1264,공주휴게소(대전방향),24시간 이용가능,급속,1,0,0,충청남도 공주시 당진영덕고속도로 72 ,1661-9408,유료,급속(100kW멀티),없음 
1265,광천생활체육공원,24시간 이용가능,급속,1,0,0,충청남도 홍성군 광천읍 홍남로 764-42 (홍남로 764-42),1661-9408,유료,급속(50kW),없음 
1266,국립생태원,24시간 이용가능,급속,2,0,0,충청남도 서천군 마서면 송내리 758 ,1661-9408,무료,급속(200kW동시),없음 
1267,국립생태원 정문 주차장,24시간 이용가능,급속,1,0,0,충청남도 서천군 마서면 송내리 758  정문 관리사무소 옆 주차장,1661-9408,유료,급속(50kW),주차요금 별도 
1268,국민건강보험공단 서천출장소,24시간 이용가능,급속,1,0,0,충청남도 서천군 서천읍 군사리 181-3 ,1661-9408,무료,급속(100kW멀티),없음 
1269,국민연금공단 보령사옥,24시간 이용가능,급속,1,0,0,충청남도 보령시 동대동 576-1 ,1661-9408,무료,급속(100kW멀티),없음 
1270,궁촌동 공영주차장,24시간 이용가능,급속,1,0,0,충청남도 보령시 궁촌동 43-2 ,1661-9408,유료,급속(100kW멀티),없음 
1271,금마면 하나로마트,24시간 이용가능,급속,2,0,0,충청남도 홍성군 금마면 가산리 488 ,1661-9408,유료,급속(200kW동시),없음 
1272,금산군청,24시간 이용가능,급속,0,1,0,충청남도 금산군 금산읍 군청길 13 ,1661-9408,유료,급속(50kW),없음 
