,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
262,대구시청,24시간 이용가능,급속,1,0,0,"대구광역시 중구 국채보상로131길 17 , 대구시청 앞 주차장 왼편(동인동2가 2-1)",1661-9408,유료,급속(50kW),없음 
263,대구지방합동청사,24시간 이용가능,급속,1,0,0,대구광역시 달서구 대곡동 1035 ,1661-9408,유료,급속(50kW),없음 
264,대구환경공단 달성사업소,24시간 이용가능,급속,3,0,0,대구광역시 달성군 현풍면 현풍서로 147 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
265,대구환경공단 신천사업소,24시간 이용가능,급속,1,0,0,"대구광역시 북구 서변동 1290-4, 입구 좌측 주차구역 ",1661-9408,유료,급속(50kW),없음 
266,대명1동 행정복지센터,24시간 이용가능,급속,1,0,0,대구광역시 남구 두류공원로 38 ,1661-9408,유료,급속(100kW멀티),없음 
267,도원동마을공영주차장,24시간 이용가능,급속,1,0,0,대구광역시 달서구 도원동 668-10 ,1661-9408,유료,급속(100kW멀티),없음 
268,두류공원관리소,24시간 이용가능,급속,1,0,0,대구광역시 달서구 공원순환로 216 성당휴게소 주차장(성당동 195-11),1661-9408,유료,급속(50kW),없음 
269,만촌1동주민센터,24시간 이용가능,급속,0,1,0,대구광역시 수성구 국채보상로 1001 ,1661-9408,유료,급속(50kW),없음 
270,만평네거리 북편 공영주차장,24시간 이용가능,급속,1,0,0,대구광역시 북구 팔달로 105  (팔달로 105),1661-9408,유료,급속(50kW),없음 
271,망우당공원 택시쉼터,24시간 이용가능,급속,1,0,0,대구광역시 동구 효동로2길 93  (효동로2길 93),1661-9408,유료,급속(50kW),없음 
272,무학산공원,24시간 이용가능,급속,4,0,0,대구광역시 수성구 지산동 880-2 ,1661-9408,무료,급속(200kW동시),없음 
273,범물공영주차장,8:30~18:30,급속,0,1,0,"대구광역시 수성구 지범로 232, 지하 좌측 ",1661-9408,유료,급속(50kW),"1시간 무료,2시간 1000원 "
274,복현2동주민센터,24시간 이용가능,급속,1,0,0,대구광역시 북구 복현로8길 16-5 ,1661-9408,유료,급속(50kW),없음 
275,북구구민 운동장,24시간 이용가능,급속,2,0,0,대구광역시 북구 구암로 391 ,1661-9408,유료,급속(200kW동시),없음 
276,북구유통단지(EXCO),08:00~22:00,급속,1,0,0,"대구광역시 북구 유통단지로 90 ,제1주차장 지하3층 14A(산격2동 1676)",1661-9408,유료,급속(50kW),없음 
277,북대구세무서,24시간 이용가능,급속,1,0,0,대구광역시 북구 침산동 402-3 ,1661-9408,유료,급속(100kW멀티),없음 
278,블루핸즈 현풍현대서비스,24시간 이용가능,급속,1,0,0,대구광역시 달성군 현풍면 국가산단북로 360 ,1661-9408,유료,급속(50kW),없음 
279,비슬산 숲속 캠핑장,24시간 이용가능,급속,0,0,2,대구광역시 달성군 유가읍 용리 15-1* ,1661-9408,유료,급속(200kW동시),없음 
280,서구 문화회관,24시간 이용가능,급속,1,0,0,대구광역시 서구 당산로 403 ,1661-9408,유료,급속(100kW멀티),없음 
281,서변2공영주차장,24시간 이용가능,급속,1,0,0,"대구광역시 북구 서변동 1792, 입구 좌측 ",1661-9408,유료,급속(50kW),"1시간 무료,30분 400원, 초과 10분 200원 "
282,서재문화체육센터,24시간 이용가능,급속,0,2,0,대구광역시 달성군 다사읍 다사로 750 ,1661-9408,유료,급속(200kW동시),없음 
283,서촌공영주차장,24시간 이용가능,급속,1,0,0,"대구광역시 달서구 용산동 507, 입구 우측 ",1661-9408,유료,급속(50kW),"1시간 무료,30분 200원, 초과 10분 100원 "
284,성명맨션 앞(공중전화부스),24시간 이용가능,급속,1,0,0,대구광역시 동구 신천3동 146-15 (신천3동 146-15),1661-9408,유료,급속(50kW),없음 
285,성서국민체육센터,24시간 이용가능,급속,1,0,0,대구광역시 달서구 선원로 133  (선원로 133),1661-9408,유료,급속(50kW),없음 
286,수태골 공영주차장,24시간 이용가능,급속,1,0,0,대구광역시 동구 용수동 907-1 ,1661-9408,유료,급속(50kW),없음 
287,시지근린공원 공영주차장,08:00~22:00,급속,1,0,0,대구광역시 수성구 달구벌대로637길 5 주차장 출구 직전(매 매호동1330-2),1661-9408,유료,급속(50kW),없음 
288,신암5동주민센터,24시간 이용가능,급속,1,0,0,대구광역시 동구 아양로37길 92 ,1661-9408,유료,급속(50kW),없음 
289,안심2동 공영주차장,24시간 이용가능,급속,1,0,0,대구광역시 동구 용계동 923-3 ,1661-9408,유료,급속(100kW멀티),없음 
290,연암공원,24시간 이용가능,급속,2,0,0,대구광역시 북구 북구 산격동 산79-13 ,1661-9408,유료,급속(200kW동시),없음 
291,용산역환승주차장,24시간 이용가능,급속,1,0,0,"대구광역시 달서구 장기동 810-4, 입구 좌측 ",1661-9408,유료,급속(50kW),"1시간 무료,30분 300원, 초과 10분 150원 "
292,웃는얼굴 아트센터,24시간 이용가능,급속,1,0,0,"대구광역시 달서구 문화회관4길 22-7, 건너편 주차장 좌측 ",1661-9408,유료,급속(50kW),없음 
293,원평치안센터(공중전화부스),24시간 이용가능,급속,1,0,0,대구광역시 서구 평리3동 729-2 (평리3동 729-2),1661-9408,유료,급속(50kW),없음 
294,율암동 공영주차장,24시간 이용가능,급속,1,0,1,대구광역시 동구 율암동 524-416 번지 ,1661-9408,유료,급속(200kW동시),없음 
295,이곡2동주민센터,24시간 이용가능,급속,1,0,0,대구광역시 달서구 계대동문로 77 ,1661-9408,유료,급속(50kW),없음 
296,중앙119 구조본부,24시간 이용가능,급속,2,0,0,대구광역시 달성군 구지면 구지서로1 ,1661-9408,유료,급속(200kW동시),없음 
297,진천환승공영주차장,24시간 이용가능,급속,4,0,0,대구광역시 달서구 진천동 493-7 ,1661-9408,유료,급속(200kW동시),없음 
298,청소년수련관공영주차장,24시간 이용가능,급속,1,0,0,대구광역시 달서구 상화로 406 ,1661-9408,유료,급속(50kW),"1시간 무료,10분 100원 "
299,칠곡3지구 공영주차장,24시간 이용가능,급속,4,0,0,대구광역시 북구 구암동 771-2 ,1661-9408,무료,급속(400kW동시),없음 
300,침산3동행정복지센터,24시간 이용가능,급속,1,0,0,대구광역시 북구 성북로 55 ,1661-9408,유료,급속(100kW멀티),없음 
301,침산공원,24시간 이용가능,급속,1,0,0,대구광역시 북구 침산동 1192-1 ,1661-9408,유료,급속(100kW멀티),없음 
302,팔달신시장공영주차장,24시간 이용가능,급속,1,0,0,"대구광역시 북구 노원로 32, 입구 좌측 ",1661-9408,유료,급속(50kW),"1시간 무료,30분 300원, 초과 10분 150원 "
303,해안동 공영주차장,24시간 이용가능,급속,1,0,1,대구광역시 동구 방촌동 126-2번지 ,1661-9408,유료,급속(200kW동시),없음 
304,현풍백년도깨비시장 공영주차장,24시간 이용가능,급속,1,1,0,대구광역시 달성군 현풍읍 원교리 12-1 ,1661-9408,무료,급속(200kW동시),없음 
305,현풍휴게소(대구방향),24시간 이용가능,급속,2,0,0,대구광역시 달성군 현풍면 비슬로 741 (성하리) ,1661-9408,유료,급속(50kW),없음 
306,현풍휴게소(현풍방향),24시간 이용가능,급속,2,0,0,대구광역시 달성군 현풍면 성하길 48 (성하리) ,1661-9408,유료,급속(50kW),없음 
307,호산공영주차장,24시간 이용가능,급속,1,0,0,"대구광역시 달서구 호산동 714-1, 입구 우측 ",1661-9408,유료,급속(50kW),"1시간 무료,30분 200원, 초과 10분 100원 "
308,호텔아젤리아,24시간 이용가능,급속,1,0,0,대구광역시 달성군 유가면 일연선사길 10 ,1661-9408,유료,급속(50kW),없음 
309,홀마트 앞 (공중전화부스),24시간 이용가능,급속,0,1,0,대구광역시 달성군 논공읍 논공로 749 (논공로 749),1661-9408,유료,급속(50kW),없음 
310,황금2동주민센터 앞 공영주차장,24시간 이용가능,급속,0,1,0,대구광역시 수성구 청수로31길 45 ,1661-9408,유료,급속(50kW),없음 
311,㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,평일08:30~18:00,급속,1,0,0,인천광역시 서구 원삭로 160  주차장 입구 우측 완속충전기 옆,1661-9408,유료,급속(50kW),토요일이용시간 08:30~16:00일요일이용시간 09:30~16:00주차요금 별도 
312,가좌2동 행정복지센터,24시간 이용가능,급속,1,0,0,인천광역시 서구 가좌동 30-105 ,1661-9408,유료,급속(100kW멀티),없음 
313,갈산역 공영주차장,24시간 이용가능(운영시간외 무료),급속,1,0,0,인천광역시 부평구 갈산동 192 ,1661-9408,유료,급속(100kW멀티),최초30분 600원/추가 15분당 300원(운영시간 평일 09~19시 주말 09~17시) 
314,강화경기장,24시간 이용가능,급속,1,1,0,인천광역시 강화군 강화읍 강화대로 603 ,1661-9408,무료,급속(200kW동시),없음 
315,강화풍물시장 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 강화군 강화읍 갑곳리 849  고엽제전우회 건물 옆,1661-9408,유료,급속(50kW),주차요금 별도 
316,검단2공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 서구 당하동 1097-5  검단4동 주민센터 옆,1661-9408,유료,급속(50kW),주차요금 별도 
317,계산1택지 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 계양구 계산동 1060  구두수선방 옆,1661-9408,유료,급속(50kW),주차요금 별도 
318,계산3동행정복지센터 주차창,24시간 이용가능,급속,1,0,0,인천광역시 계양구 계산새로 7 ,1661-9408,무료,급속(100kW멀티),없음 
319,계양구 공영주차장,24시간 이용가능,급속,0,1,0,"인천광역시 계양구 봉오대로 679-1 , 작전역 2번 출구 100m 앞 (작전동 862-30)",1661-9408,유료,급속(50kW),주차비 30분 300원 이후 15분당 150원(친환경차 50% 감면) 
320,국립생물자원관,24시간 이용가능,급속,1,0,0,인천광역시 서구 환경로 42 ,1661-9408,무료,급속(100kW멀티),없음 
321,근로복지공단 인천북부지사,09:00~18:00,급속,2,0,0,인천광역시 부평구 무네미로 478 ,1661-9408,무료,급속(200kW동시),없음 
322,남동복지관,24시간 이용가능,급속,0,0,2,인천광역시 남동구 소래로 645 ,1661-9408,유료,급속(200kW동시),없음 
323,늘솔길공원 3주차장,24시간 이용가능,급속,2,0,0,인천광역시 남동구 논현동 762-3 ,1661-9408,유료,급속(200kW동시),없음 
324,대룡리 공영주차장,24시간 이용가능,급속,2,0,0,인천광역시 강화군 교동면 대룡리 466-19 ,1661-9408,무료,급속(200kW동시),없음 
325,덕산국민여가캠핑장,24시간 이용가능,급속,1,0,0,인천광역시 강화군 내가면 고천리 산494 ,1661-9408,유료,급속(50kW),없음 
326,도원역 부근 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 중구 도원동 5-7  주차장 입구,1661-9408,유료,급속(50kW),주차요금 별도 
327,동화마을 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 중구 송월동2가 4 ,1661-9408,무료,급속(100kW멀티),30분당 1000원 저공해차량 50% 할인 
328,롯데마트 검단점,10:00~23:00,급속,0,1,0,인천광역시 서구 원당대로 581 (마전동) ,1661-9408,유료,급속(50kW),없음 
329,롯데마트 부평역점,24시간 이용가능,급속,0,0,1,인천광역시 부평구 광장로 16 (부평동) ,1661-9408,유료,급속(50kW),없음 
330,롯데마트 연수점,10:00~24:00,급속,1,0,0,"인천광역시 연수구 청능대로 87, 2층 206 ",1661-9408,유료,급속(50kW),없음 
331,롯데마트 영종도점,10:00~22:00,급속,1,0,0,"인천광역시 중구 흰바위로 51 , 지상주차장 4층 455구역(운서동 2803-2)",1661-9408,유료,급속(50kW),없음 
332,롯데마트 영종도점,24시간 이용가능,급속,1,1,0,인천광역시 중구 흰바위로 51 ,1661-9408,유료,급속(200kW동시),없음 
333,롯데마트 인천터미널점,08:00~01:00,급속,2,0,0,인천광역시 미추홀구 관교동 12 ,1661-9408,무료,급속(200kW동시),"최초30분 무료, 30분당 1000원 마트이용고객 만원당 1시간무료 "
334,롯데마트 청라점,10:00~23:00,급속,2,0,0,인천광역시 서구 청라 커낼로 252(경서동) ,1661-9408,유료,급속(50kW),없음 
335,모탱이공원,24시간 이용가능,급속,1,0,0,인천광역시 계양구 동양동 607-1 ,1661-9408,유료,급속(100kW멀티),없음 
336,문화예술회관공영주차장,24시간 이용가능,급속,2,0,0,인천광역시 남동구 예술로 149 ,1661-9408,무료,급속(200kW동시),"30분당 600원, 5시간 이후 종일요금 6000원 적용, 저공해차량 50%할인 "
337,부원 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,1661-9408,유료,급속(50kW),주차요금 별도 
338,부평깡시장 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 부평구 부흥로 315 ,1661-9408,유료,급속(100kW멀티),최초30분 600원/추가 15분당 300원 
339,삼산월드체육관,07:00~21:00,급속,2,0,0,인천광역시 부평구 체육관로 60 ,1661-9408,무료,급속(200kW동시),"최초60분 무료, 30분당 500원 "
340,서곶근린공원 제1주차장,24시간 이용가능,급속,0,2,0,인천광역시 서구 연희동 산150-5 ,1661-9408,유료,급속(200kW동시),없음 
341,서운체육공원 주차장,24시간 이용가능,급속,2,0,0,인천광역시 계양구 서운동 207 ,1661-9408,유료,급속(200kW동시),없음 
342,소래제1주차장,24시간 이용가능,급속,2,0,0,인천광역시 남동구 논현동 754-4 ,1661-9408,유료,급속(200kW동시),최초30분 1000원/추가 15분당 500원 
343,송도골프,24시간 이용가능,급속,2,0,0,인천광역시 연수구 능허대로 236 ,1661-9408,유료,급속(50kW),없음 
344,송도컨벤시아,06:00~20:00,급속,1,0,0,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층(송도동 6-1)",1661-9408,유료,급속(50kW),없음 
345,송도컨벤시아,24시간 이용가능,급속,0,2,0,인천광역시 연수구 센트럴로 123  ,1661-9408,무료,급속(200kW동시),기본30분600원 
346,송림체육관,24시간 이용가능,급속,1,0,0,인천광역시 동구 염전로 30 (염전로 30),1661-9408,유료,급속(50kW),없음 
347,시립박물관주변 공영주차장,24시간 이용가능,급속,1,1,0,인천광역시 연수구 청량로 165 ,1661-9408,무료,급속(200kW동시),없음 
348,신기남부종합시장 주차장,24시간 이용가능,급속,1,0,0,인천광역시 미추홀구 주안동 1311-17 ,1661-9408,유료,급속(100kW멀티),최초30분 600원/추가 15분당 300원 
349,십리포해수욕장 주차장,24시간 이용가능,급속,1,0,1,인천광역시 옹진군 영흥면 영흥북로 382  ,1661-9408,유료,급속(200kW동시),최초30분 1000원/추가 15분당 500원 
350,아트센터인천,07:00~23:00,급속,2,0,0,인천광역시 연수구 아트센터대로 222 ,1661-9408,유료,급속(200kW동시),1시간 무료 이후 30분 600원  
351,여성의광장,24시간 이용가능,급속,2,0,0,인천광역시 연수구 앵고개로 183 ,1661-9408,무료,급속(200kW동시),없음 
352,연세대학교 국제캠퍼스,24시간 이용가능,급속,0,1,0,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,1661-9408,유료,급속(50kW),주차요금 별도 
353,연수구청,24시간 이용가능,급속,2,0,0,인천광역시 연수구 원인재로 115 ,1661-9408,유료,급속(200kW동시),1시간 무료 이후 최초30분 600원/추가15분당 300원 
354,열우물경기장,24시간 이용가능,급속,1,1,0,인천광역시 부평구 십정동 109-2 ,1661-9408,유료,급속(200kW동시),없음 
355,영종 하늘문화센터,24시간 이용가능,급속,1,0,0,인천광역시 중구 영종해안북로 1000-26 ,1661-9408,무료,급속(100kW멀티),없음 
356,영종대교 휴게소 주차장,24시간 이용가능,급속,1,0,0,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,1661-9408,유료,급속(50kW),주차요금 별도 
357,영종역남부 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 중구 운북동 464 ,1661-9408,무료,급속(100kW멀티),30분당 400원 저공해차량 50%핳인 
358,영흥수산물직판장 주차장,24시간 이용가능,급속,0,0,1,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,1661-9408,유료,급속(50kW),주차요금 별도 
359,온수리 공영 주차장,24시간 이용가능,급속,1,0,0,인천광역시 강화군 길상면 온수리 546-34 ,1661-9408,유료,급속(100kW멀티),없음 
360,왕산 공영주차장,24시간 이용가능,급속,2,0,0,인천광역시 중구 을왕동 808-5 ,1661-9408,무료,급속(200kW동시),30분당 400원 저공해차량 50%핳인 
361,월미공원 제2주차장,24시간 이용가능,급속,1,0,0,인천광역시 중구 월미로 329 ,1661-9408,유료,급속(100kW멀티),최초30분 600원/추가 15분당 300원(20시~익일11시 무료개방) 
362,월미도 공영주차장,24시간 이용가능,급속,1,1,0,인천광역시 중구 반달로 20 ,1661-9408,무료,급속(200kW동시),없음 
363,이마트 동인천점,24시간 이용가능,급속,1,0,0,인천광역시 중구 인중로 134 ,1661-9408,유료,급속(100kW멀티),없음 
364,이마트 연수점,10:00~24:00,급속,1,0,0,"인천광역시 연수구 경원대로 184 , 주차장 옥상(동춘동 926-9)",1661-9408,유료,급속(50kW),없음 
365,인천공항 정부합동청사,24시간 이용가능,급속,0,1,0,"인천광역시 중구 공항로424번길 47 , 정문 주차장(운서동 2850)",1661-9408,유료,급속(50kW),주차비 1시간 500원(친환경차 50% 감면) 
366,인천공항물류단지 행정지원센터,24시간 이용가능,급속,1,0,0,인천광역시 중구 공항동로 296번길 69 ,1661-9408,유료,급속(100kW멀티),1시간당 2400원(1일 최대 징수금액 24000원) 
367,인천광역시 교통연수원,24시간 이용가능,급속,3,0,0,인천광역시 계양구 경명로 990 ,1661-9408,유료,"급속(100kW멀티), 급속(200kW동시)",없음 
368,인천교통공사 본사,미개방,급속,1,0,0,인천광역시 남동구 경인로 674 ,1661-9408,유료,급속(100kW멀티),없음 
369,인천나비공원 주차장,24시간 이용가능,급속,1,0,0,인천광역시 부평구 청천동 125-3 ,1661-9408,유료,급속(100kW멀티),없음 
370,인천서구청,평일09:00~19:00,급속,1,1,0,인천광역시 서구 서곶로 307 ,1661-9408,유료,급속(200kW동시),1시간 무료 이후 15분 300원  
371,인천서구청 제1주차장,24시간 이용가능,급속,0,1,0,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층(심곡동 239-9)",1661-9408,유료,급속(50kW),주차비 30분 600원 이후 15분 150원(친환경차 50% 감면) 
372,인천서구청소년수련관,24시간 이용가능,급속,2,0,0,인천광역시 서구 원창로 92 ,1661-9408,유료,급속(200kW동시),없음 
373,인천시청,24시간 이용가능,급속,0,1,0,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞(구월동 1138)",1661-9408,유료,급속(50kW),없음 
374,인천아시아드주경기장 D1주차장,24시간 이용가능,급속,3,1,0,인천광역시 서구 연희동 187-8 ,1661-9408,유료,급속(400kW동시),없음 
375,인천아시안게임 남동경기장 1주차장,24시간 이용가능,급속,1,1,0,인천광역시 남동구 수산동 394-54 ,1661-9408,유료,급속(200kW동시),없음 
376,인천정보산업테크노파크,24시간 이용가능,급속,2,0,0,인천광역시 서구 로봇랜드로 155-11 ,1661-9408,유료,급속(200kW동시),없음 
377,인천환경공단 가좌사업소,24시간 이용가능,급속,0,2,0,인천광역시 서구 중봉대로211 ,1661-9408,무료,급속(200kW동시),없음 
378,인천환경공단 운북사업소,24시간 이용가능,급속,2,0,0,인천광역시 중구 영종해안북로 1204번길 105 ,1661-9408,무료,급속(200kW동시),없음 
379,장수서창 공영주차장,24시간 이용가능,급속,2,0,0,인천광역시 남동구 서창동 558-3 ,1661-9408,유료,급속(200kW동시),없음 
380,정부인천지방합동청사,09:00~18:00,급속,2,0,0,인천광역시 미추홀구 석정로 239 ,1661-9408,무료,급속(100kW멀티),없음 
381,중부지방고용노동청 별관 앞,24시간 이용가능,급속,1,0,0,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,1661-9408,유료,급속(50kW),주차요금 별도 
382,차이나타운 주차장,24시간 이용가능,급속,1,0,0,인천광역시 중구 신포로27번길 80 (신포로27번길 80),1661-9408,유료,급속(50kW),없음 
383,청라에너지,24시간 이용가능,급속,1,0,0,인천광역시 서구 봉수대로 696 ,1661-9408,유료,급속(50kW),없음 
384,청라중앙호수공원 2주차장,24시간 이용가능,급속,2,0,0,인천광역시 서구 경서동 638-5 ,1661-9408,유료,급속(200kW동시),없음 
385,한국폴리텍대학 남인천캠퍼스,24시간 이용가능,급속,2,0,0,인천광역시 미추홀구 염전로333번길 23 ,1661-9408,무료,급속(200kW동시),없음 
386,한국환경공단(기후대기관),24시간 이용가능,급속,1,0,0,인천광역시 서구 환경로 42 기후대기관(경서동 2-1),1661-9408,유료,급속(50kW),없음 
387,현대시장 공영주차장,24시간 이용가능,급속,1,0,0,인천광역시 동구 송림동 49-172 ,1661-9408,유료,급속(100kW멀티),최초30분 400원/추가 15분당 200원(20시~익일 8시 무료개방) 
388,홈플러스 가좌점,10:00~23:30,급속,1,0,0,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역(가좌동 118)",1661-9408,유료,급속(50kW),지하주차장 미개방시 [T: 453-8000]으로 전화요청 
389,홈플러스 구월점,09:00~24:00,급속,1,0,0,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)",1661-9408,유료,급속(50kW),없음 
390,홈플러스 인천청라점,10:00~24:00,급속,0,2,0,인천광역시 서구 중봉대로 587 ,1661-9408,무료,급속(200kW동시),없음 
391,홈플러스 인하점,09:00~24:00,급속,1,0,0,"인천광역시 미추홀구 소성로 6 , 주차장 옥상(용현동 648)",1661-9408,유료,급속(50kW),없음 
392,518기념문화센터,24시간 이용가능,급속,1,1,0,광주광역시 서구 내방로 152 ,1661-9408,유료,급속(200kW동시),없음 
393,IPLEX광주,24시간 이용가능,급속,1,0,0,광주광역시 동구 동계천로 150 ,1661-9408,유료,급속(50kW),없음 
394,계림동 공영주차장,24시간 이용가능,급속,1,0,0,광주광역시 동구 계림동 280 ,1661-9408,유료,급속(100kW멀티),없음 
395,공무원교육원,24시간 이용가능,급속,2,0,0,광주광역시 광산구 소촌로152번길 53-27 ,1661-9408,유료,급속(200kW동시),없음 
396,광산구청 구청사,24시간 이용가능,급속,1,0,0,광주광역시 광산구 광산로 29번길 15 ,1661-9408,유료,급속(50kW),없음 
397,광산문화예술회관,24시간 이용가능,급속,1,0,0,광주광역시 광산구 광산로 68번길 13 ,1661-9408,유료,급속(50kW),없음 
398,광주교육과학연구원,24시간 이용가능,급속,1,0,0,광주광역시 동구 의재로 109번길 10 ,1661-9408,유료,급속(100kW멀티),없음 
399,광주김치타운,24시간 이용가능,급속,2,0,0,광주광역시 남구 김치로 60 ,1661-9408,무료,급속(200kW동시),없음 
400,광주도시철도공사,24시간 이용가능,급속,1,1,0,광주광역시 서구 상무대로 760 ,1661-9408,무료,급속(200kW동시),없음 
401,광주망월주유소,06:00~24:00,급속,2,0,0,광주광역시 북구 동문대로 603 ,1661-9408,유료,급속(200kW동시),없음 
402,광주문화예술회관,24시간 이용가능,급속,1,0,0,"광주광역시 북구 북문대로 60 , 광주문화예술회관 지상주차장(운암동 328-16)",1661-9408,유료,급속(50kW),없음 
403,광주문화예술회관,24시간 이용가능,급속,0,1,0,광주광역시 북구 북문대로 60 ,1661-9408,유료,급속(100kW멀티),없음 
404,광주시청,24시간 이용가능,급속,2,0,0,"광주광역시 서구 내방로 111 , 광주광역시청  (치평동 1200)",1661-9408,유료,급속(50kW),없음 
405,광주테크노파크가전로봇센터,24시간 이용가능,급속,1,0,0,광주광역시 북구 첨단과기로 339 ,1661-9408,유료,급속(50kW),없음 
406,국립광주박물관,24시간 이용가능,급속,1,0,0,광주광역시 북구 하서로 110 ,1661-9408,유료,급속(100kW멀티),없음 
407,국민체육센터,24시간 이용가능,급속,1,0,0,광주광역시 동구 필문대로 205번길 17 ,1661-9408,유료,급속(50kW),없음 
408,기아자동차 진월점,24시간 이용가능,급속,1,0,0,광주광역시 남구 진월동 314-1 ,1661-9408,유료,급속(50kW),없음 
409,남구문화예술회관,24시간 이용가능,급속,1,0,0,광주광역시 남구 봉선로 208 ,1661-9408,유료,급속(50kW),없음 
410,남구청주차장,24시간 이용가능,급속,1,0,0,광주광역시 남구 주월동 1284-7 ,1661-9408,유료,급속(50kW),없음 
411,농성2동주민센타,24시간 이용가능,급속,0,1,0,광주광역시 서구 화정로 314 ,1661-9408,무료,급속(100kW멀티),없음 
412,동구다목적체육관 제1주차장,09:00~22:00,급속,1,0,0,광주광역시 동구 남문로 418-15 ,1661-9408,유료,급속(100kW멀티),없음 
413,동구문화센터,24시간 이용가능,급속,1,0,0,광주광역시 동구 남문로 646 ,1661-9408,유료,급속(50kW),없음 
414,롯데마트 상무점,10:00~22:30,급속,1,1,0,"광주광역시 서구 시청로 40, 1층 진입후 우측 ",1661-9408,유료,급속(200kW동시),충전기이용목적무료 
415,롯데마트 수완점,10:00~23:00,급속,2,0,0,광주광역시 광산구 장신로 98 ,1661-9408,유료,급속(50kW),없음 
416,롯데마트 월드컵점,10:00~24:00,급속,1,0,0,"광주광역시 서구 금화로 240 , 지하주차장 1층 116구역(풍암동 423-2)",1661-9408,유료,급속(50kW),없음 
417,롯데마트 첨단점,10:00~24:00,급속,1,0,0,"광주광역시 광산구 첨단강변로99번길 22 , 지상주차장 2층(쌍암동 694-3)",1661-9408,유료,급속(50kW),없음 
418,무등산생태탐방원,24시간 이용가능,급속,2,0,0,광주광역시 북구 충효동 805번지 ,1661-9408,유료,급속(200kW동시),없음 
419,봉선1동 공영주차장,24시간 이용가능,급속,2,0,0,광주광역시 남구 봉선중앙로123번길 21 ,1661-9408,무료,급속(200kW동시),없음 
420,블루핸즈 신창진흥점,24시간 이용가능,급속,1,0,0,광주광역시 광산구 북문대로 482 ,1661-9408,유료,급속(50kW),없음 
421,블루핸즈 하남현대자동차서비스,24시간 이용가능,급속,1,0,0,광주광역시 광산구 하남대로 127-10 ,1661-9408,유료,급속(50kW),없음 
422,비아5일시장 제2 공영주차장,월~금09:00~19:00,급속,1,0,0,광주광역시 광산구 비아동 66-6 ,1661-9408,유료,급속(100kW멀티),없음 
423,사직주민센터,24시간 이용가능,급속,1,0,0,광주광역시 남구 서동 147-22 ,1661-9408,유료,급속(100kW멀티),없음 
424,삼도동주민센터,월~금09:00~19:00,급속,1,0,0,광주광역시 광산구 오운로 433-1 ,1661-9408,유료,급속(100kW멀티),없음 
425,서부농수산물도매시장,24시간 이용가능,급속,1,0,0,광주광역시 서구 매월2로 16 ,1661-9408,유료,급속(50kW),없음 
426,서석동 공영주차장,24시간 이용가능,급속,0,1,0,광주광역시 동구 서석동 24-2 ,1661-9408,무료,급속(100kW멀티),"기본 700원, 15분당 350원 "
427,서창한옥문화관,24시간 이용가능,급속,1,0,0,광주광역시 서구 눌재로 420 (세하동) ,1661-9408,유료,급속(100kW멀티),없음 
428,소태역 환승주차장,24시간 이용가능,급속,1,0,0,"광주광역시 동구 남문로 575 , 환승주차장 1층(용산동 277)",1661-9408,유료,급속(50kW),없음 
429,송암동주민센터,24시간 이용가능,급속,1,0,0,"광주광역시 남구 송암로 66 , 도로쪽 주차장(송하동 370-2)",1661-9408,유료,급속(50kW),없음 
430,양3동주민센터,24시간 이용가능,급속,0,1,0,광주광역시 서구 상무대로1223번길 16 ,1661-9408,무료,급속(100kW멀티),없음 
431,양동주민센터,24시간 이용가능,급속,0,1,0,광주광역시 서구 천변좌로222번길 3-2 ,1661-9408,무료,급속(100kW멀티),없음 
432,운남동 공영주차장,월~금09:00~19:00,급속,1,0,0,광주광역시 광산구 운남동 524-3 ,1661-9408,유료,급속(100kW멀티),없음 
433,유덕동주민센터,24시간 이용가능,급속,1,0,0,광주광역시 서구 유덕로 24 (유촌동) ,1661-9408,유료,급속(100kW멀티),없음 
434,이마트 광산점,10:00~24:00,급속,0,1,0,"광주광역시 광산구 사암로 172 , 지상주차장 4층 A구역(우산동 1598-3)",1661-9408,유료,급속(50kW),없음 
