"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"ME174162","오월드 내 주차장","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","중구","대전광역시 중구 사정동 142  플라워랜드 주차장","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME178001","경주휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","경주시","내남면","경상북도 경주시 내남면 경부고속도로 59 (월산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178002","죽전휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","용인시","수지구","경기도 용인시 수지구 경부고속도로 400 (죽전동) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178003","기흥휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","용인시","기흥구","경기도 용인시 기흥구 공세로 173 (공세동) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178004","김천휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","김천시","농소면","경상북도 김천시 농소면 경부고속도로 194 (신촌리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178005","김천휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","김천시","농소면","경상북도 김천시 농소면 경부고속도로 193 (신촌리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178006","칠곡휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","칠곡군","칠곡군","경상북도 칠곡군 왜관읍 경부고속도로 159 (아곡리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178007","칠곡휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","칠곡군","칠곡군","경상북도 칠곡군 왜관읍 경부고속도로 158 (아곡리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178008","신탄진휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","대덕구","대전광역시 대덕구 산업단지로 27 (상서동) 236-1 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178009","서울만남휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","서울특별시","서울시","서초구","서울특별시 서초구 양재대로12길 73-71 (원지동) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
